Dataset,Tool,value,type
Chemerin,metagenomeSeq,0.978947368,Recall
edd_singh,metagenomeSeq,1,Recall
glass_plastic_oberbeckmann,metagenomeSeq,0.4,Recall
GWMC_ASIA_NA,metagenomeSeq,1,Recall
hiv_lozupone,metagenomeSeq,0,Recall
ibd_papa,metagenomeSeq,0.125,Recall
Ji_WTP_DS,metagenomeSeq,0.767857143,Recall
MALL,metagenomeSeq,0,Recall
ob_zhu,metagenomeSeq,0,Recall
sed_plastic_hoellein,metagenomeSeq,0.102040816,Recall
sed_plastic_rosato,metagenomeSeq,0.992537313,Recall
seston_plastic_mccormick,metagenomeSeq,0.68,Recall
sw_plastic_frere,metagenomeSeq,0.924418605,Recall
sw_sed_detender,metagenomeSeq,0.884792627,Recall
t1d_alkanani,metagenomeSeq,0,Recall
t1d_mejialeon,metagenomeSeq,0.454545455,Recall
wood_plastic_kesy,metagenomeSeq,1,Recall
ArcticFireSoils,t-test (rare),1,Recall
cdi_schubert,t-test (rare),0.538461538,Recall
Chemerin,t-test (rare),1,Recall
edd_singh,t-test (rare),1,Recall
glass_plastic_oberbeckmann,t-test (rare),0,Recall
GWMC_ASIA_NA,t-test (rare),1,Recall
hiv_lozupone,t-test (rare),0,Recall
ibd_papa,t-test (rare),0,Recall
Ji_WTP_DS,t-test (rare),0.714285714,Recall
MALL,t-test (rare),0,Recall
ob_zhu,t-test (rare),0,Recall
sed_plastic_hoellein,t-test (rare),0,Recall
sed_plastic_rosato,t-test (rare),0.73880597,Recall
seston_plastic_mccormick,t-test (rare),0.08,Recall
sw_plastic_frere,t-test (rare),0.200581395,Recall
sw_sed_detender,t-test (rare),0.97235023,Recall
t1d_alkanani,t-test (rare),0,Recall
t1d_mejialeon,t-test (rare),0.090909091,Recall
wood_plastic_kesy,t-test (rare),0.5,Recall
ArcticFireSoils,Wilcoxon (CLR),1,Recall
cdi_schubert,Wilcoxon (CLR),1,Recall
Chemerin,Wilcoxon (CLR),1,Recall
edd_singh,Wilcoxon (CLR),1,Recall
glass_plastic_oberbeckmann,Wilcoxon (CLR),0.4,Recall
GWMC_ASIA_NA,Wilcoxon (CLR),1,Recall
hiv_lozupone,Wilcoxon (CLR),0,Recall
ibd_papa,Wilcoxon (CLR),0,Recall
Ji_WTP_DS,Wilcoxon (CLR),1,Recall
MALL,Wilcoxon (CLR),1,Recall
ob_zhu,Wilcoxon (CLR),1,Recall
sed_plastic_hoellein,Wilcoxon (CLR),1,Recall
sed_plastic_rosato,Wilcoxon (CLR),1,Recall
seston_plastic_mccormick,Wilcoxon (CLR),1,Recall
sw_plastic_frere,Wilcoxon (CLR),1,Recall
sw_sed_detender,Wilcoxon (CLR),1,Recall
t1d_alkanani,Wilcoxon (CLR),0,Recall
t1d_mejialeon,Wilcoxon (CLR),0,Recall
wood_plastic_kesy,Wilcoxon (CLR),1,Recall
ArcticFireSoils,Wilcoxon (rare),1,Recall
cdi_schubert,Wilcoxon (rare),0.923076923,Recall
Chemerin,Wilcoxon (rare),1,Recall
edd_singh,Wilcoxon (rare),1,Recall
glass_plastic_oberbeckmann,Wilcoxon (rare),0.6,Recall
GWMC_ASIA_NA,Wilcoxon (rare),1,Recall
hiv_lozupone,Wilcoxon (rare),0,Recall
ibd_papa,Wilcoxon (rare),0,Recall
Ji_WTP_DS,Wilcoxon (rare),0.982142857,Recall
MALL,Wilcoxon (rare),0,Recall
ob_zhu,Wilcoxon (rare),0.5,Recall
sed_plastic_hoellein,Wilcoxon (rare),0,Recall
sed_plastic_rosato,Wilcoxon (rare),0.880597015,Recall
seston_plastic_mccormick,Wilcoxon (rare),0.44,Recall
sw_plastic_frere,Wilcoxon (rare),0.662790698,Recall
sw_sed_detender,Wilcoxon (rare),0.940092166,Recall
t1d_alkanani,Wilcoxon (rare),0,Recall
t1d_mejialeon,Wilcoxon (rare),0.454545455,Recall
wood_plastic_kesy,Wilcoxon (rare),0.5,Recall
ArcticFireSoils,limma voom (TMM),1,Recall
cdi_schubert,limma voom (TMM),1,Recall
Chemerin,limma voom (TMM),1,Recall
edd_singh,limma voom (TMM),1,Recall
glass_plastic_oberbeckmann,limma voom (TMM),0.6,Recall
GWMC_ASIA_NA,limma voom (TMM),1,Recall
hiv_lozupone,limma voom (TMM),0,Recall
ibd_papa,limma voom (TMM),0,Recall
Ji_WTP_DS,limma voom (TMM),0.964285714,Recall
MALL,limma voom (TMM),1,Recall
ob_zhu,limma voom (TMM),0.5,Recall
sed_plastic_hoellein,limma voom (TMM),0.12244898,Recall
sed_plastic_rosato,limma voom (TMM),1,Recall
seston_plastic_mccormick,limma voom (TMM),0.96,Recall
sw_plastic_frere,limma voom (TMM),0.994186047,Recall
sw_sed_detender,limma voom (TMM),1,Recall
t1d_alkanani,limma voom (TMM),0,Recall
t1d_mejialeon,limma voom (TMM),0.909090909,Recall
wood_plastic_kesy,limma voom (TMM),1,Recall
ArcticFireSoils,limma voom (TMMwsp),1,Recall
cdi_schubert,limma voom (TMMwsp),1,Recall
Chemerin,limma voom (TMMwsp),1,Recall
edd_singh,limma voom (TMMwsp),1,Recall
glass_plastic_oberbeckmann,limma voom (TMMwsp),1,Recall
GWMC_ASIA_NA,limma voom (TMMwsp),1,Recall
hiv_lozupone,limma voom (TMMwsp),0,Recall
ibd_papa,limma voom (TMMwsp),0.125,Recall
Ji_WTP_DS,limma voom (TMMwsp),1,Recall
MALL,limma voom (TMMwsp),1,Recall
ob_zhu,limma voom (TMMwsp),1,Recall
sed_plastic_hoellein,limma voom (TMMwsp),1,Recall
sed_plastic_rosato,limma voom (TMMwsp),1,Recall
seston_plastic_mccormick,limma voom (TMMwsp),1,Recall
sw_plastic_frere,limma voom (TMMwsp),0.98255814,Recall
sw_sed_detender,limma voom (TMMwsp),1,Recall
t1d_alkanani,limma voom (TMMwsp),0,Recall
t1d_mejialeon,limma voom (TMMwsp),0.363636364,Recall
wood_plastic_kesy,limma voom (TMMwsp),1,Recall
ArcticFireSoils,ALDEx2,0.045714286,Precision
ArcticFreshwaters,ALDEx2,0,Precision
ArcticTransects,ALDEx2,0,Precision
cdi_schubert,ALDEx2,0.301724138,Precision
Chemerin,ALDEx2,0.402542373,Precision
edd_singh,ALDEx2,0.046511628,Precision
glass_plastic_oberbeckmann,ALDEx2,0.8,Precision
GWMC_ASIA_NA,ALDEx2,0.001855779,Precision
GWMC_HOT_COLD,ALDEx2,0,Precision
Ji_WTP_DS,ALDEx2,0.416666667,Precision
MALL,ALDEx2,1,Precision
ob_goodrich,ALDEx2,0,Precision
ob_zhu,ALDEx2,0.2,Precision
Office,ALDEx2,0,Precision
sed_plastic_hoellein,ALDEx2,1,Precision
sed_plastic_rosato,ALDEx2,0.472324723,Precision
seston_plastic_mccormick,ALDEx2,0.073170732,Precision
sw_plastic_frere,ALDEx2,0.66,Precision
sw_sed_detender,ALDEx2,0.261761158,Precision
t1d_mejialeon,ALDEx2,1,Precision
wood_plastic_kesy,ALDEx2,0.054054054,Precision
ArcticFireSoils,ANCOM-II,0.123655914,Precision
ArcticFreshwaters,ANCOM-II,0,Precision
ArcticTransects,ANCOM-II,0,Precision
BISCUIT,ANCOM-II,0,Precision
Blueberry,ANCOM-II,0,Precision
cdi_schubert,ANCOM-II,0.389473684,Precision
cdi_vincent,ANCOM-II,0,Precision
Chemerin,ANCOM-II,0.683453237,Precision
crc_baxter,ANCOM-II,0,Precision
crc_zeller,ANCOM-II,0,Precision
edd_singh,ANCOM-II,0.133333333,Precision
Exercise,ANCOM-II,0,Precision
glass_plastic_oberbeckmann,ANCOM-II,0.75,Precision
GWMC_ASIA_NA,ANCOM-II,0.00591716,Precision
GWMC_HOT_COLD,ANCOM-II,0,Precision
hiv_lozupone,ANCOM-II,1,Precision
hiv_noguerajulian,ANCOM-II,0,Precision
ibd_gevers,ANCOM-II,0,Precision
Ji_WTP_DS,ANCOM-II,0.814814815,Precision
MALL,ANCOM-II,1,Precision
ob_goodrich,ANCOM-II,0,Precision
ob_turnbaugh,ANCOM-II,0,Precision
ob_zhu,ANCOM-II,0.055555556,Precision
Office,ANCOM-II,0,Precision
sed_plastic_hoellein,ANCOM-II,0.538461538,Precision
sed_plastic_rosato,ANCOM-II,0.892857143,Precision
seston_plastic_mccormick,ANCOM-II,0.132075472,Precision
sw_plastic_frere,ANCOM-II,0.780092593,Precision
sw_sed_detender,ANCOM-II,0.756302521,Precision
t1d_mejialeon,ANCOM-II,1,Precision
wood_plastic_kesy,ANCOM-II,0.125,Precision
ArcticFireSoils,corncob,0.021782178,Precision
ArcticFreshwaters,corncob,0,Precision
ArcticTransects,corncob,0,Precision
art_scher,corncob,0,Precision
asd_son,corncob,0,Precision
Blueberry,corncob,0,Precision
cdi_schubert,corncob,0.15720524,Precision
cdi_vincent,corncob,0,Precision
Chemerin,corncob,0.183673469,Precision
crc_baxter,corncob,0,Precision
crc_zeller,corncob,0,Precision
edd_singh,corncob,0.023809524,Precision
glass_plastic_oberbeckmann,corncob,0.375,Precision
GWMC_ASIA_NA,corncob,0.001315295,Precision
GWMC_HOT_COLD,corncob,0,Precision
hiv_dinh,corncob,0,Precision
hiv_lozupone,corncob,0.421052632,Precision
hiv_noguerajulian,corncob,0,Precision
ibd_gevers,corncob,0,Precision
ibd_papa,corncob,0,Precision
Ji_WTP_DS,corncob,0.325,Precision
MALL,corncob,0,Precision
ob_goodrich,corncob,0,Precision
ob_turnbaugh,corncob,0,Precision
ob_zhu,corncob,0.00877193,Precision
Office,corncob,0,Precision
par_scheperjans,corncob,0,Precision
sed_plastic_hoellein,corncob,0.037037037,Precision
sed_plastic_rosato,corncob,0.27154047,Precision
seston_plastic_mccormick,corncob,0.027855153,Precision
sw_plastic_frere,corncob,0.297491039,Precision
sw_sed_detender,corncob,0.099744246,Precision
t1d_alkanani,corncob,0.259259259,Precision
t1d_mejialeon,corncob,0.156862745,Precision
wood_plastic_kesy,corncob,0.016949153,Precision
ArcticFireSoils,DESeq2,0.018867925,Precision
ArcticFreshwaters,DESeq2,0,Precision
ArcticTransects,DESeq2,0,Precision
art_scher,DESeq2,0,Precision
BISCUIT,DESeq2,0,Precision
Blueberry,DESeq2,0,Precision
cdi_schubert,DESeq2,0.078838174,Precision
cdi_vincent,DESeq2,0,Precision
Chemerin,DESeq2,0.284431138,Precision
crc_baxter,DESeq2,0,Precision
crc_zeller,DESeq2,0,Precision
edd_singh,DESeq2,0.033333333,Precision
glass_plastic_oberbeckmann,DESeq2,0.375,Precision
GWMC_ASIA_NA,DESeq2,0.001501179,Precision
GWMC_HOT_COLD,DESeq2,0,Precision
hiv_lozupone,DESeq2,0,Precision
hiv_noguerajulian,DESeq2,0,Precision
ibd_gevers,DESeq2,0,Precision
Ji_WTP_DS,DESeq2,0.287581699,Precision
MALL,DESeq2,0.035714286,Precision
ob_goodrich,DESeq2,0,Precision
ob_turnbaugh,DESeq2,0,Precision
ob_zhu,DESeq2,0.032258065,Precision
Office,DESeq2,0,Precision
sed_plastic_hoellein,DESeq2,0.147058824,Precision
sed_plastic_rosato,DESeq2,0.343669251,Precision
seston_plastic_mccormick,DESeq2,0.023504274,Precision
sw_plastic_frere,DESeq2,0.126140633,Precision
sw_sed_detender,DESeq2,0.200369344,Precision
t1d_mejialeon,DESeq2,0.411764706,Precision
wood_plastic_kesy,DESeq2,0.040816327,Precision
ArcticFireSoils,edgeR,0.010344828,Precision
ArcticFreshwaters,edgeR,0,Precision
ArcticTransects,edgeR,0,Precision
art_scher,edgeR,0,Precision
asd_son,edgeR,0,Precision
BISCUIT,edgeR,0,Precision
Blueberry,edgeR,0,Precision
cdi_schubert,edgeR,0.091240876,Precision
cdi_vincent,edgeR,0,Precision
Chemerin,edgeR,0.246753247,Precision
crc_baxter,edgeR,0,Precision
crc_zeller,edgeR,0,Precision
edd_singh,edgeR,0.013793103,Precision
Exercise,edgeR,0,Precision
glass_plastic_oberbeckmann,edgeR,0.038834951,Precision
GWMC_ASIA_NA,edgeR,0.001261943,Precision
GWMC_HOT_COLD,edgeR,0,Precision
hiv_dinh,edgeR,0,Precision
hiv_lozupone,edgeR,0.2,Precision
hiv_noguerajulian,edgeR,0,Precision
ibd_gevers,edgeR,0,Precision
ibd_papa,edgeR,0.039215686,Precision
Ji_WTP_DS,edgeR,0.270531401,Precision
MALL,edgeR,0.006097561,Precision
ob_goodrich,edgeR,0,Precision
ob_ross,edgeR,0,Precision
ob_turnbaugh,edgeR,0,Precision
ob_zhu,edgeR,0.008695652,Precision
Office,edgeR,0,Precision
par_scheperjans,edgeR,0,Precision
sed_plastic_hoellein,edgeR,0.064976228,Precision
sed_plastic_rosato,edgeR,0.207430341,Precision
seston_plastic_mccormick,edgeR,0.02044293,Precision
sw_plastic_frere,edgeR,0.109809173,Precision
sw_sed_detender,edgeR,0.117551463,Precision
t1d_mejialeon,edgeR,0.105263158,Precision
wood_plastic_kesy,edgeR,0.00896861,Precision
ArcticFireSoils,LEfSe,0.012133468,Precision
ArcticFreshwaters,LEfSe,0,Precision
ArcticTransects,LEfSe,0,Precision
art_scher,LEfSe,0,Precision
asd_son,LEfSe,0,Precision
BISCUIT,LEfSe,0,Precision
Blueberry,LEfSe,0,Precision
cdi_schubert,LEfSe,0.092544987,Precision
cdi_vincent,LEfSe,0,Precision
Chemerin,LEfSe,0.258855586,Precision
crc_baxter,LEfSe,0,Precision
crc_zeller,LEfSe,0,Precision
edd_singh,LEfSe,0.014925373,Precision
Exercise,LEfSe,0,Precision
glass_plastic_oberbeckmann,LEfSe,0.051546392,Precision
GWMC_ASIA_NA,LEfSe,0.001262854,Precision
GWMC_HOT_COLD,LEfSe,0,Precision
hiv_dinh,LEfSe,0,Precision
hiv_lozupone,LEfSe,0.25,Precision
hiv_noguerajulian,LEfSe,0,Precision
ibd_gevers,LEfSe,0,Precision
ibd_papa,LEfSe,0.041666667,Precision
Ji_WTP_DS,LEfSe,0.293193717,Precision
MALL,LEfSe,0.016666667,Precision
ob_goodrich,LEfSe,0,Precision
ob_ross,LEfSe,0,Precision
ob_turnbaugh,LEfSe,0,Precision
ob_zhu,LEfSe,0.003846154,Precision
Office,LEfSe,0,Precision
par_scheperjans,LEfSe,0,Precision
sed_plastic_hoellein,LEfSe,0.036312849,Precision
sed_plastic_rosato,LEfSe,0.268498943,Precision
seston_plastic_mccormick,LEfSe,0.026234568,Precision
sw_plastic_frere,LEfSe,0.515202703,Precision
sw_sed_detender,LEfSe,0.143347051,Precision
t1d_alkanani,LEfSe,0.09375,Precision
t1d_mejialeon,LEfSe,0.144736842,Precision
wood_plastic_kesy,LEfSe,0.007874016,Precision
ArcticFireSoils,MaAsLin2,0.014084507,Precision
ArcticFreshwaters,MaAsLin2,0,Precision
ArcticTransects,MaAsLin2,0,Precision
art_scher,MaAsLin2,0,Precision
Blueberry,MaAsLin2,0,Precision
cdi_schubert,MaAsLin2,0.084070796,Precision
Chemerin,MaAsLin2,0.25606469,Precision
crc_baxter,MaAsLin2,0,Precision
crc_zeller,MaAsLin2,0,Precision
edd_singh,MaAsLin2,0.017857143,Precision
glass_plastic_oberbeckmann,MaAsLin2,0.16,Precision
GWMC_ASIA_NA,MaAsLin2,0.001285819,Precision
GWMC_HOT_COLD,MaAsLin2,0,Precision
hiv_lozupone,MaAsLin2,1,Precision
hiv_noguerajulian,MaAsLin2,0,Precision
ibd_gevers,MaAsLin2,0,Precision
ibd_papa,MaAsLin2,0.5,Precision
Ji_WTP_DS,MaAsLin2,0.303867403,Precision
MALL,MaAsLin2,1,Precision
ob_goodrich,MaAsLin2,0,Precision
ob_zhu,MaAsLin2,0.00625,Precision
Office,MaAsLin2,0,Precision
sed_plastic_hoellein,MaAsLin2,0.041666667,Precision
sed_plastic_rosato,MaAsLin2,0.26993865,Precision
seston_plastic_mccormick,MaAsLin2,0.026446281,Precision
sw_plastic_frere,MaAsLin2,0.607879925,Precision
sw_sed_detender,MaAsLin2,0.12587007,Precision
t1d_mejialeon,MaAsLin2,0.333333333,Precision
wood_plastic_kesy,MaAsLin2,0.019047619,Precision
ArcticFireSoils,MaAsLin2 (rare),0.01443175,Precision
ArcticFreshwaters,MaAsLin2 (rare),0,Precision
ArcticTransects,MaAsLin2 (rare),0,Precision
art_scher,MaAsLin2 (rare),0,Precision
Blueberry,MaAsLin2 (rare),0,Precision
cdi_schubert,MaAsLin2 (rare),0.106824926,Precision
Chemerin,MaAsLin2 (rare),0.284431138,Precision
crc_baxter,MaAsLin2 (rare),0,Precision
edd_singh,MaAsLin2 (rare),0.019230769,Precision
Exercise,MaAsLin2 (rare),0,Precision
glass_plastic_oberbeckmann,MaAsLin2 (rare),0.19047619,Precision
GWMC_ASIA_NA,MaAsLin2 (rare),0.001300149,Precision
GWMC_HOT_COLD,MaAsLin2 (rare),0,Precision
hiv_lozupone,MaAsLin2 (rare),1,Precision
hiv_noguerajulian,MaAsLin2 (rare),0,Precision
ibd_gevers,MaAsLin2 (rare),0,Precision
ibd_papa,MaAsLin2 (rare),0.5,Precision
Ji_WTP_DS,MaAsLin2 (rare),0.306818182,Precision
ob_goodrich,MaAsLin2 (rare),0,Precision
ob_zhu,MaAsLin2 (rare),0,Precision
Office,MaAsLin2 (rare),0,Precision
sed_plastic_hoellein,MaAsLin2 (rare),0.111111111,Precision
sed_plastic_rosato,MaAsLin2 (rare),0.343373494,Precision
seston_plastic_mccormick,MaAsLin2 (rare),0.04375,Precision
sw_plastic_frere,MaAsLin2 (rare),0.892,Precision
sw_sed_detender,MaAsLin2 (rare),0.143763214,Precision
t1d_mejialeon,MaAsLin2 (rare),0.277777778,Precision
wood_plastic_kesy,MaAsLin2 (rare),0.03030303,Precision
ArcticFireSoils,metagenomeSeq,0.015399423,Precision
ArcticFreshwaters,metagenomeSeq,0,Precision
ArcticTransects,metagenomeSeq,0,Precision
art_scher,metagenomeSeq,0,Precision
Blueberry,metagenomeSeq,0,Precision
cdi_schubert,metagenomeSeq,0.224852071,Precision
cdi_vincent,metagenomeSeq,0,Precision
Chemerin,metagenomeSeq,0.261235955,Precision
crc_baxter,metagenomeSeq,0,Precision
crc_zeller,metagenomeSeq,0,Precision
edd_singh,metagenomeSeq,0.057142857,Precision
glass_plastic_oberbeckmann,metagenomeSeq,0.095238095,Precision
GWMC_ASIA_NA,metagenomeSeq,0.001304753,Precision
GWMC_HOT_COLD,metagenomeSeq,0,Precision
ibd_gevers,metagenomeSeq,0,Precision
ibd_papa,metagenomeSeq,0.25,Precision
Ji_WTP_DS,metagenomeSeq,0.284768212,Precision
MALL,metagenomeSeq,0,Precision
ob_goodrich,metagenomeSeq,0,Precision
Office,metagenomeSeq,0,Precision
sed_plastic_hoellein,metagenomeSeq,0.108695652,Precision
sed_plastic_rosato,metagenomeSeq,0.224283305,Precision
seston_plastic_mccormick,metagenomeSeq,0.045576408,Precision
sw_plastic_frere,metagenomeSeq,0.504761905,Precision
sw_sed_detender,metagenomeSeq,0.133148405,Precision
t1d_mejialeon,metagenomeSeq,0.357142857,Precision
wood_plastic_kesy,metagenomeSeq,0.039215686,Precision
ArcticFireSoils,t-test (rare),0.015161087,Precision
ArcticFreshwaters,t-test (rare),0,Precision
ArcticTransects,t-test (rare),0,Precision
cdi_schubert,t-test (rare),0.067524116,Precision
Chemerin,t-test (rare),0.260273973,Precision
edd_singh,t-test (rare),0.064516129,Precision
GWMC_ASIA_NA,t-test (rare),0.001387237,Precision
GWMC_HOT_COLD,t-test (rare),0,Precision
hiv_lozupone,t-test (rare),0,Precision
hiv_noguerajulian,t-test (rare),0,Precision
ibd_gevers,t-test (rare),0,Precision
Ji_WTP_DS,t-test (rare),0.32,Precision
ob_goodrich,t-test (rare),0,Precision
Office,t-test (rare),0,Precision
sed_plastic_rosato,t-test (rare),0.502538071,Precision
seston_plastic_mccormick,t-test (rare),0.01459854,Precision
sw_plastic_frere,t-test (rare),0.258426966,Precision
sw_sed_detender,t-test (rare),0.274739583,Precision
t1d_mejialeon,t-test (rare),1,Precision
wood_plastic_kesy,t-test (rare),0.066666667,Precision
ArcticFireSoils,Wilcoxon (CLR),0.011423132,Precision
ArcticFreshwaters,Wilcoxon (CLR),0,Precision
ArcticTransects,Wilcoxon (CLR),0,Precision
cdi_schubert,Wilcoxon (CLR),0.070909091,Precision
Chemerin,Wilcoxon (CLR),0.275362319,Precision
