Replicate number,Tool,Percent_sig,Dataset
  ASVs: 344,,,
ArcticFreshWater.45,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.46,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.47,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.48,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.49,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.50,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.51,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.52,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.53,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.54,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.55,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.56,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.57,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.58,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.59,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.60,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.61,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.62,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.63,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.64,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.65,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.66,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.67,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.68,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.69,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.70,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.71,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.72,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.73,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.74,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.75,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.76,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.77,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.78,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.79,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.80,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.81,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.82,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.83,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.84,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.85,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.86,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.87,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.88,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.89,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.90,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.91,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.92,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.93,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.94,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.95,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.96,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.97,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.98,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.99,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.100,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.101,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.102,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.103,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.104,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.105,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.106,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.107,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.108,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.109,ANCOM-II,0.290697674,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.110,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.111,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.112,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.113,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.114,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.115,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.116,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.117,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.118,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.119,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.120,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.121,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.122,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.123,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.124,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.125,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.126,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.127,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.128,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.129,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.130,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.131,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.132,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.133,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.134,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.135,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.136,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.137,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.138,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.139,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.140,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.141,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.142,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.143,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.144,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.145,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.146,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.147,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.148,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.149,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.150,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.151,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.152,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.153,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.154,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.155,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.156,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.157,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.158,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.159,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.160,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.161,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.162,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.163,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.164,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.165,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.166,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.167,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.168,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.169,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.170,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.171,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.172,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.173,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.174,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.175,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.176,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.177,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.178,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.179,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.180,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.181,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.182,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.183,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.184,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.185,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.186,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.187,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.188,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.189,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.190,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.191,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.192,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.193,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.194,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.195,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.196,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.197,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.198,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.199,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.200,ANCOM-II,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.201,corncob,2.325581395,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.202,corncob,1.453488372,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.203,corncob,4.360465116,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.204,corncob,2.906976744,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.205,corncob,2.034883721,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.206,corncob,1.744186047,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.207,corncob,2.325581395,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.208,corncob,2.034883721,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.209,corncob,4.651162791,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.210,corncob,2.906976744,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.211,corncob,3.197674419,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.212,corncob,4.069767442,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.213,corncob,2.906976744,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.214,corncob,2.325581395,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.215,corncob,2.325581395,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.216,corncob,2.906976744,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.217,corncob,3.488372093,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.218,corncob,4.651162791,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.219,corncob,2.906976744,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.220,corncob,5.523255814,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.221,corncob,3.197674419,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.222,corncob,3.197674419,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.223,corncob,5.523255814,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.224,corncob,1.744186047,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.225,corncob,3.488372093,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.226,corncob,3.488372093,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.227,corncob,5.23255814,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.228,corncob,3.779069767,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.229,corncob,2.325581395,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.230,corncob,4.941860465,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.231,corncob,3.779069767,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.232,corncob,1.453488372,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.233,corncob,1.162790698,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.234,corncob,1.453488372,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.235,corncob,2.034883721,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.236,corncob,1.453488372,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.237,corncob,2.906976744,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.238,corncob,2.61627907,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.239,corncob,2.61627907,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.240,corncob,2.325581395,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.241,corncob,2.034883721,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.242,corncob,3.488372093,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.243,corncob,3.197674419,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.244,corncob,2.906976744,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.245,corncob,4.069767442,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.246,corncob,3.488372093,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.247,corncob,7.558139535,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.248,corncob,2.034883721,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.249,corncob,3.197674419,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.250,corncob,2.325581395,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.251,corncob,2.034883721,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.252,corncob,2.906976744,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.253,corncob,1.162790698,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.254,corncob,2.325581395,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.255,corncob,2.325581395,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.256,corncob,1.162790698,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.257,corncob,3.488372093,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.258,corncob,2.034883721,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.259,corncob,3.197674419,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.260,corncob,1.744186047,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.261,corncob,2.034883721,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.262,corncob,2.325581395,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.263,corncob,3.197674419,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.264,corncob,2.325581395,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.265,corncob,2.325581395,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.266,corncob,3.488372093,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.267,corncob,2.906976744,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.268,corncob,1.162790698,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.269,corncob,1.453488372,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.270,corncob,4.360465116,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.271,corncob,2.325581395,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.272,corncob,4.069767442,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.273,corncob,2.61627907,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.274,corncob,5.523255814,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.275,corncob,3.197674419,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.276,corncob,1.453488372,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.277,corncob,2.034883721,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.278,corncob,2.61627907,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.279,corncob,2.034883721,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.280,corncob,6.395348837,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.281,corncob,2.325581395,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.282,corncob,1.744186047,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.283,corncob,2.034883721,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.284,corncob,4.360465116,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.285,corncob,2.034883721,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.286,corncob,0.872093023,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.287,corncob,2.61627907,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.288,corncob,3.197674419,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.289,corncob,2.61627907,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.290,corncob,2.325581395,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.291,corncob,2.906976744,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.292,corncob,2.325581395,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.293,corncob,1.744186047,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.294,corncob,4.069767442,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.295,corncob,3.779069767,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.296,corncob,3.488372093,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.297,corncob,2.325581395,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.298,corncob,4.360465116,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.299,corncob,3.197674419,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.300,corncob,2.325581395,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.301,DESeq2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.302,DESeq2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.303,DESeq2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.304,DESeq2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.305,DESeq2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.306,DESeq2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.307,DESeq2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.308,DESeq2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.309,DESeq2,0.872093023,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.310,DESeq2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.311,DESeq2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.312,DESeq2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.313,DESeq2,0,Freshwater - Arctic
