,Dataset.Name,Added.By,X.Description..include..sample.type..environment.species..and.comparison.variable..,Sample.Size,Minor.Group.Size,Seq..Tech.,X16S.variable.region,Aitch..PER..R2,Aitch..PER..P,Median.unrarified.depth,Rarefaction.depth,Pipeline.Name,Paper.doi,Raw.data,Metadata.File.Name,Metadata.File.md5sum,ASV.Table.File.Name,ASV.Table.md5sum,ASV.Table.Rarified.Name,ASV.Table.Rarified.md5sum,Genus.Table.File.Name,Genus.Table.md5sum,Genus.Table.Rarified.Name,Genus.Table.Rarified.md5sum,X16S.sequence.fasta.Name,X16S.sequence.fasta.md5sum,Completed.Filter.ASV.Pipeline,Completed.Filter.Genus.Pipeline,Completed.non.Filter.ASV,log(Sample size),Aitchson's Dist. Effect Size,log(Aitch. dist. effect size),Sparsity,Richness,log(Max read depth),log(Read depth range),Read depth variation,% below prev. cut-off
Human - CC (1),crc_baxter,Gavin,Stool samples from colorectal cancer patients vs controls,263,117,MiSeq,V4,NA,NA,11930,2021,Duvallet et al. 2017 USEARCH pipeline,10.1186/s13073-016-0290-3,SRA study SRP062005,crc_baxter_metadata.tsv,2f8baf1df7f0ec50ce98a24c556cf7f5,crc_baxter_ASVs_table.tsv,fb0894c57d50d28d42943ca8b222d3b7,crc_baxter_ASVs_table_rare.tsv,4ffb027cba07473ab75bab376fdf80fb,crc_baxter_genus_table.tsv,8ec21814fa4f271f300128dfc65b7ce0,crc_baxter_genus_table_rare.tsv,94a919d81b02f16ce8ae2e5c60cf462f,NA,NA,Yes,Yes,Run,5.572154032,0.005576572,-5.189181063,0.957170283,670,9.386811515,11.75574615,0.915174938,93.47743442
Human - CC (2),crc_zeller,Gavin,Stool samples from colorectal cancer patients vs controls,116,41,MiSeq,V4,NA,NA,120989,28042,Duvallet et al. 2017 USEARCH pipeline,10.15252/msb.20145645,ENA study PRJEB6070,crc_zeller_metadata.tsv,dc998f0a61bb9bede74097972c100dca,crc_zeller_ASVs_table.tsv,223ef5c23f4f5a13129d755593a657ff,crc_zeller_ASVs_table_rare.tsv,4973650f0704c8e2acfa49979b2fc10e,crc_zeller_genus_table.tsv,9c147b27f974d2e2e5ee75a8af093e4c,crc_zeller_genus_table_rare.tsv,9298b006fd7018c200b334453db5315a,NA,NA,Yes,Yes,Run,4.753590191,0.016308175,-4.116088788,0.897387018,3898.5,11.70345491,12.78195822,0.600750706,71.54796058
Human - Inf.,edd_singh,Gavin,Stool samples from patients with enteric infections vs healthy family members,203,54,454,V3-V5,NA,NA,3377,2006,Duvallet et al. 2017 USEARCH pipeline,10.1186/s40168-015-0109-2,http://dx.doi.org/10.6084/m9.figshare.1447256,edd_singh_metadata.tsv,1dfdb4d221ad5a260c4024f29665f084,edd_singh_ASVs_table.tsv,e7002ee358e565c206878dfc576a5d61,edd_singh_ASVs_table_rare.tsv,49b969f75d997c435703739723a33754,edd_singh_genus_table.tsv,4a7c1d9a82e63854bf1934e576c9faab,edd_singh_genus_table_rare.tsv,71c9e44e396d0ee8337afc437868438b,NA,NA,Yes,Yes,Run,5.313205979,0.060874076,-2.79894787,0.920716484,94,8.12474302,9.05157908,0.458874426,82.98033283
Human - HIV (1),hiv_dinh,Gavin,Stool samples from chronic HIV patients vs uninfected controls,30,11,454,V3-V5,NA,NA,3295,2170,Duvallet et al. 2017 USEARCH pipeline,10.1093/infdis/jiu409,SRA study SRP039076,hiv_dinh_metadata.tsv,7c20376ce694f3f93ecb6d36dfecdc92,hiv_dinh_ASVs_table.tsv,10827a3885d77cb119329fd2ee7251f6,hiv_dinh_ASVs_table_rare.tsv,7f425ccc088f51df95d5d114c891d152,hiv_dinh_genus_table.tsv,d2e8e25a9be231667fcca845a5234781,hiv_dinh_genus_table_rare.tsv,c371ede9f03e1934eccd86483549125e,NA,NA,Yes,Yes,Run,3.401197382,0.034683039,-3.3615045,0.834653988,206.5,8.100161447,9.140668699,0.547326447,50.71315372
Human - HIV (2),hiv_lozupone,Gavin,Stool samples from HIV patients vs uninfected controls,27,5,MiSeq,V4,NA,NA,3566,2220,Duvallet et al. 2017 USEARCH pipeline,10.1016/j.chom.2013.08.006,ENA study PRJEB4335,hiv_lozupone_metadata.tsv,04e16729a567ffab8336bec39d57e792,hiv_lozupone_ASVs_table.tsv,5fba4b19998174fbb33634c5ee94f0c1,hiv_lozupone_ASVs_table_rare.tsv,5b1dd975a28e57aca842ebdaa4a14a79,hiv_lozupone_genus_table.tsv,9d735c1499f529599c561eb95610c3b9,hiv_lozupone_genus_table_rare.tsv,76cbe52ee95ac4f07bb408b447b9cef3,NA,NA,Yes,Yes,Run,3.295836866,0.060723775,-2.801419984,0.779828271,220,8.179199798,10.14305548,0.987083955,38.75432526
Human - HIV (3),hiv_noguerajulian,Gavin,Stool samples from HIV patients vs uninfected controls,170,28,MiSeq,V3-V4,NA,NA,27689.5,2012,Duvallet et al. 2017 USEARCH pipeline,10.1016/j.ebiom.2016.01.032,SRA study SRP068240,hiv_noguerajulian_metadata.tsv,581ec94e944b8114c62eecf834d97f17,hiv_noguerajulian_ASVs_table.tsv,b65f6c4f23e961c7605d0e3aafccb8ce,hiv_noguerajulian_ASVs_table_rare.tsv,295a6dcdf741ce428b60b760be844a6b,hiv_noguerajulian_genus_table.tsv,c6579bd98acd464cd64c75904c442332,hiv_noguerajulian_genus_table_rare.tsv,a2baa10be0de123ad3bf9a1b2300451b,NA,NA,Yes,Yes,Run,5.135798437,0.014921876,-4.20492696,0.914504995,1128,10.22880856,12.3426251,1.016989103,78.81756525
Human - CD (2),ibd_gevers,Gavin,Multiple gut sampletypes from treatment-na•ve pediatric Crohn's disease patients and control subjects,154,15,Miseq,V4,NA,NA,10014.5,2071,Duvallet et al. 2017 USEARCH pipeline,10.1016/j.chom.2014.02.005,SRA study SRP040765,ibd_gevers_metadata.tsv,fc2a20f5eaca015383ad954e686178a9,ibd_gevers_ASVs_table.tsv,dfbeaa634491b42ac7589d3250f743d3,ibd_gevers_ASVs_table_rare.tsv,d9263131af5565bdfcbc50252bdfcfba,ibd_gevers_genus_table.tsv,5c86536cd91a76ba4e6573abe709fc0f,ibd_gevers_genus_table_rare.tsv,9808f22a7ba1cf1485441df0197bc307,NA,NA,Yes,Yes,Run,5.036952602,0.01495783,-4.202520338,0.90482736,853.5,9.211789322,10.92081748,0.722573157,71.62763119
Human - IBD,ibd_papa,Gavin,Stool samples from inflammatory bowel disease patients vs controls,24,7,454,V3-V5,NA,NA,4471,2089,Duvallet et al. 2017 USEARCH pipeline,10.1371/journal.pone.0039242,Duvallet et al. 2017 emailed authors,ibd_papa_metadata.tsv,97dc018c14ebecdf40dd233434160e9e,ibd_papa_ASVs_table.tsv,eb7addfce7da64c316560b0c437ce0c2,ibd_papa_ASVs_table_rare.tsv,f2e0303f8ee6ab0a14a0a4d86627e1f9,ibd_papa_genus_table.tsv,48904739fe42d6e0a063c2391026723f,ibd_papa_genus_table_rare.tsv,5bb756f5968b1851836e320fa27fd907,NA,NA,Yes,Yes,Run,3.17805383,0.060847372,-2.799386651,0.854482446,348.5,8.405367376,8.390495538,0.293638838,60.55188496
Human - OB (1),ob_goodrich,Gavin,Stool samples from dizygotic and monozygotic twins from the TwinsUK cohort. Particular focus on non-obese vs obese individuals,613,185,Miseq,V4,NA,NA,27077,3433,Duvallet et al. 2017 USEARCH pipeline,10.1016/j.cell.2014.09.053,ENA studies PRJEB6702 and PRJEB6705,ob_goodrich_metadata.tsv,4195be0785f9f5c20e0c80e10ce6bf2f,ob_goodrich_ASVs_table.tsv,8bb724c44cce17bf5e5bd4208ae2420b,ob_goodrich_ASVs_table_rare.tsv,ec7fb3b7a58aaed2617f029706a83b7c,ob_goodrich_genus_table.tsv,28d8db1ff324ce8f1e986479e82abac9,ob_goodrich_genus_table_rare.tsv,a3a3edc1bdb25e46e44d29964e62586d,NA,NA,Yes,Yes,SKIP,6.418364936,0.004488566,-5.406221995,0.958847292,2241,10.20643994,11.43379567,0.461889991,92.33971839
Human - OB (2),ob_ross,Gavin,Stool samples from subjects within a community with varying health conditions,52,21,454,V1-V3,NA,NA,5038.5,2017,Duvallet et al. 2017 USEARCH pipeline,10.1186/s40168-015-0072-y,SRA study SRP053023,ob_ross_metadata.tsv,d9ee0b87a4e69ea4b5d22bd36f2eab47,ob_ross_ASVs_table.tsv,7f59f81e748a023b3eade6449f4f2cfb,ob_ross_ASVs_table_rare.tsv,79dd1486ea00f11336f88e0cd7101724,ob_ross_genus_table.tsv,4f7b0b115c4a97648484d8351b3e7110,ob_ross_genus_table_rare.tsv,34bc7b82dd312065949e018ff6695c0f,NA,NA,Yes,Yes,Run,3.951243719,0.018568289,-3.986300021,0.819281923,205.5,8.524863698,9.491677357,0.486676867,50.04156276
Human - OB (3),ob_turnbaugh,Gavin,Stool samples from dizygotic and monozygotic twins with a particular focus on non-obese vs obese individuals,78,23,454,V2,NA,NA,2831,2008,Duvallet et al. 2017 USEARCH pipeline,10.1038/nature07540,https://gordonlab.wustl.edu/NatureTwins_2008/TurnbaughNature_11_30_08.html,ob_turnbaugh_metadata.tsv,309fa9cb403e36f851ed257fd3785a63,ob_turnbaugh_ASVs_table.tsv,6386d315b51cfff298f4e5b444779b77,ob_turnbaugh_ASVs_table_rare.tsv,8d033b9febe3635878f48be11b9eb749,ob_turnbaugh_genus_table.tsv,41752b04eab3dea5d721b1278697cb8c,ob_turnbaugh_genus_table_rare.tsv,c4d211c3f146eb09d470bd03cf7537f5,NA,NA,Yes,Yes,Run,4.356708827,0.026043064,-3.648003794,0.901505902,544.5,7.948385285,9.857129429,0.835363516,73.88316151
Human - OB (4),ob_zhu,Gavin,"Stool samples from nonalcoholic steatohepatitis, obese, and control individuals. Subset chosen for comparison was obese vs control subjects",41,16,454,V4,NA,NA,9778,2196,Duvallet et al. 2017 USEARCH pipeline,10.1002/hep.26093,"MG-RAST, study mgp1195",ob_zhu_metadata.tsv,4569d3edc1772466fd43d23a71408892,ob_zhu_ASVs_table.tsv,ae25f3b795f42550561affd9a88cf867,ob_zhu_ASVs_table_rare.tsv,643b151069c55e83eec6fb6f199077ac,ob_zhu_genus_table.tsv,27eb7abf4c988089c3abe6aed2c4900d,ob_zhu_genus_table_rare.tsv,3e08d9ae59079825f57a224282d06cc7,NA,NA,Yes,Yes,Run,3.713572067,0.062773589,-2.768220855,0.844463422,544,9.187890243,9.571923252,0.368345296,56.59523091
Human - Par.,par_scheperjans,Gavin,Stool samples from Parkinson's disease vs control subjects,108,53,454,V1-V3,NA,NA,2476.5,2023,Duvallet et al. 2017 USEARCH pipeline,10.1002/mds.26069,ENA study PRJEB4927,par_scheperjans_metadata.tsv,1c636e1871d4c390a52517e84762fd82,par_scheperjans_ASVs_table.tsv,800503fe4e220c91cf57eedf14d9766e,par_scheperjans_ASVs_table_rare.tsv,76f552535c520e8983cfda6c46749fa5,par_scheperjans_genus_table.tsv,82fe8bb662633d656a53f471d9ff8f48,par_scheperjans_genus_table_rare.tsv,444dbd9c379c4e77b648189db39671b5,NA,NA,Yes,Yes,Run,4.682131227,0.011631051,-4.454076955,0.91441708,248.5,7.814601552,7.828834528,0.203428918,78.07560137
Human - T1D (1),t1d_alkanani,Gavin,Stool samples from Type 1 diabetes vs control subjects,102,50,MiSeq,V4,NA,NA,9885,2060,Duvallet et al. 2017 USEARCH pipeline,10.2337/db14-1847,Duvallet et al. 2017 emailed authors,t1d_alkanani_metadata.tsv,044d99b764bf76f76ba9484459360ee4,t1d_alkanani_ASVs_table.tsv,b81c5e86b0b4ba9547415a59082d0f0f,t1d_alkanani_ASVs_table_rare.tsv,0e055422b4e0df3959e161df1d3e8faa,t1d_alkanani_genus_table.tsv,1b4150a1131694ecdb28b5369b6a9c44,t1d_alkanani_genus_table_rare.tsv,8627b1f5b6f3e76c0db4682d2c25c29d,NA,NA,Yes,Yes,Run,4.624972813,0.01384132,-4.280096925,0.950591637,3193,9.198773736,11.45495731,1.127049742,99.31732015
Human - T1D (2),t1d_mejialeon,Gavin,Stool samples from Type 1 diabetes vs control subjects,28,8,454,V4,NA,NA,4702.5,2202,Duvallet et al. 2017 USEARCH pipeline,10.1038/srep03814,Duvallet et al. 2017 emailed authors,t1d_mejialeon_metadata.tsv,cbbb052c0be6d9dd775a9f60096f3b71,t1d_mejialeon_ASVs_table.tsv,a5fe769d350a77b4c1987c62b93ad90d,t1d_mejialeon_ASVs_table_rare.tsv,ba47e0eb5dcff9519495f4c3cc212caf,t1d_mejialeon_genus_table.tsv,89c4eefe41c3ed1ed360e95cc05e8f83,t1d_mejialeon_genus_table_rare.tsv,1943f725d5403e2f46ce70ef0eba08c5,NA,NA,Yes,Yes,Run,3.33220451,0.066323068,-2.713217511,0.7327996,153,8.455849561,8.981178748,0.400473645,30.47285464
WWSR - Continents,GWMC_ASIA_NA,Nicole,waste water sludge reactor samples from asia vs. north america,865,248,MiSeq,V4,NA,NA,35206,25600,Wu et al. 2019,10.1038/s41564-019-0426-5,SRA PRJNA509305,GWMC_ASIA_NA_metadata.csv,6da956a9c46bd1fd14485a7470fcc8c3,GWMC_ASIA_NA_ASVs_table.tsv,3a52dee4e4aac034d9b5c12f6c5fe13c,GWMC_ASIA_NA_ASVs_table_rare.tsv,84d0c6a03d6812644cd40bcd12d16b85,GWMC_ASIA_NA_genus_table.tsv,d7fb68715fe13e7ed5643953f7d2a6b6,GWMC_ASIA_NA_genus_table_rare.tsv,8d6eddbb9f9c98c8094f3f4dfa7b62db,GWMC_ASVs.fasta,45b7d1562b086699d4dd2a73c37f7a01,Yes,Yes,SKIP,6.761572769,0.053942523,-2.919836186,0.967494285,2818,10.4689718,12.69202959,0.647496956,91.85201819
WWSR - Temp.,GWMC_HOT_COLD,Nicole,"waste water sludge reactor samples from hot (30 N to 30 S) and cold (30 N and up, 30 S and down)",1021,223,MiSeq,V4,NA,NA,36791,25600,Wu et al. 2019,10.1038/s41564-019-0426-5,SRA PRJNA509305,GWMC_HOT_COLD_metadata.csv,4c85ce7e171fec0aecdc67c2c1b7c5dc,GWMC_HOT_COLD_ASVs_table.tsv,032a3c52e0d504a6db8c3f0cc5441095,GWMC_HOT_COLD_ASVs_table_rare.tsv,5aa16491f458e1b5866bf64ed8c288ec,GWMC_HOT_COLD_genus_table.tsv,287225916768385c321b8688a5abfec4,GWMC_HOT_COLD_genus_table_rare.tsv,925bfda08eb3fe91893518322089f6cd,GWMC_ASVs.fasta,45b7d1562b086699d4dd2a73c37f7a01,Yes,Yes,SKIP,6.928537818,0.021882085,-3.822087035,0.969602633,2755,10.51300853,12.69530582,0.593437371,92.30184747
Marine - Sediment,sw_sed_detender,Robyn,Marine seawater vs sediment samples from the Belgian North Sea,78,18,MiSeq,V3-V4,NA,NA,25624,2000,Deblur,10.1021/acs.est.5b01093,SRA SRA233339,sw_sed_detender_metadata.tsv,a845335880a82d739662e090ebf06609,sw_sed_detender_ASVs_table.tsv,1ae1769dba473a4e7a34356e7ffa5b34,sw_sed_detender_ASVs_table_rare.tsv,5237868549895a67db91ae028729cae7,sw_sed_detender_genus_table.tsv,e09ab9516d21c12bdc40bf1aae463359,sw_sed_detender_genus_table_rare.tsv,5f82916a411ff2de8ed5a5daf9d1fb28,sw_sed_detender_ASVs.fasta,b3af4f6d20994e601d885517dff4b941,Yes,Yes,Run,4.356708827,0.233368292,-1.455137421,0.915360045,551,10.15128469,12.34136374,0.941025387,79.10503303
Marine - Plastic (1),sw_plastic_frere,Robyn,"Marine plastic vs seawater samples from the Bay of Brest, Northern Atlantic",59,12,MiSeq,V4-V5,NA,NA,75591,2000,Deblur,10.1016/j.envpol.2018.07.023,VAMPS portal LQM_MPLA_Bv4v5,sw_plastic_frere_metadata.tsv,7a5726c5032db814669fbefd80117ce1,sw_plastic_frere_ASVs_table.tsv,5c4aa44b2db38bacf12f7479585ab45d,sw_plastic_frere_ASVs_table_rare.tsv,01240b4a5c030db63034c491ce8b24c9,sw_plastic_frere_genus_table.tsv,90d2f630d22c3e8f7c9877b8f456c796,sw_plastic_frere_genus_table_rare.tsv,d0974ea65c91a41e99f8fa80d39235ac,sw_plastic_frere_ASVs.fasta,d4036f426f9b0d159a8f9062f3ca78d0,Still Running,Still Running,SKIP,4.077537444,0.097576328,-2.327120358,0.909365608,1903,11.23309251,12.26298214,0.413653535,75.93177828
Marine - Plastic (2),sed_plastic_hoellein,Robyn,River plastic vs sediment samples from the North Shore Channel of Lake Michigan,31,12,MiSeq,V4,NA,NA,16664,2000,Deblur,10.1086/693012,SRA SRP077684,sed_plastic_hoellein_metadata.tsv,7e35c006555bc332b49cea2e89a93fa1,sed_plastic_hoellein_ASVs_table.tsv,d42661b3a562a683c96d9eaceb297873,sed_plastic_hoellein_ASVs_table_rare.tsv,95ac22d68ab828f0811f27e42e6c92bf,sed_plastic_hoellein_genus_table.tsv,9834a6eef3f3b62c3bb6e8e62d16ef23,sed_plastic_hoellein_genus_table_rare.tsv,8fa904746da2d1a4db69565afec7b1be,sed_plastic_hoellein_ASVs.fasta,8d1b256988890785f5b9981edd5a8768,Yes,Yes,Run,3.433987204,0.096007052,-2.34333363,0.840343672,1304,9.721005983,9.875448096,0.229603808,61.89951824
Marine - Plastic (3),wood_plastic_kesy,Robyn,Marine plastic vs wood samples in the Baltic Sea,72,24,MiSeq,V4,NA,NA,34990,2000,Deblur,10.3389/fmicb.2019.01665,SRA PRJNA506548,wood_plastic_kesy_metadata.tsv,6d925af5db18f4e7117572a34b16b92c,wood_plastic_kesy_ASVs_table.tsv,94f516322657a6185edb5675edf0957f,wood_plastic_kesy_ASVs_table_rare.tsv,e951338ca72964df1c47771565ccd87d,wood_plastic_kesy_genus_table.tsv,df12cd0ab37f3f243c7b6f9dd3feae0a,wood_plastic_kesy_genus_table_rare.tsv,c82d1bf85120ed27be37df6714d01392,wood_plastic_kesy_ASVs.fasta,fb4ce9d836f3f7bcb45f59862b9b2a79,Yes,No,Run,4.276666119,0.041354103,-3.185583626,0.875835324,396,10.46281759,11.40657557,0.464782052,74.2910564
River - Plastic,seston_plastic_mccormick,Robyn,River plastic vs seston samples from the North Shore Channel of Lake Michigan,65,26,MiSeq,V4,NA,NA,18942,2000,Deblur,doi.org/10.1002/ecs2.1556,SRA SRP065321,seston_plastic_mccormick_metadata.tsv,3a4a35c65031d73d0138e24dbcbbc4e7,seston_plastic_mccormick_ASVs_table.tsv,a78c6a113e84566902a83182ff5a6a07,seston_plastic_mccormick_ASVs_table_rare.tsv,5b5892c72899c154455eab800f4a59f4,seston_plastic_mccormick_genus_table.tsv,e66b66884d0b4f2783601dba4817bf62,seston_plastic_mccormick_genus_table_rare.tsv,73ac361231a76d5c27ec082f1f4ae090,seston_plastic_mccormick_ASVs.fasta,728b57e731d15013553c2e5a6b60ec5f,Yes,Yes,Run,4.17438727,0.070813013,-2.647712495,0.909072532,786,9.849136958,10.52158786,0.44590583,78.56758212
